Found 265 batch files (190 logical batches, 32 multi-part):
  - Edge file:packages/engine/Specs/Scene/DebugAppearanceSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/DebugCameraPrimitiveSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/DebugModelMatrixPrimitiveSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/DepthPlaneSpec.js → file:packages/engine/Specs/createCamera.js (imports): dropped, missing target 'file:packages/engine/Specs/createCamera.js'
  - Edge file:packages/engine/Specs/Scene/DepthPlaneSpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Scene/DepthPlaneSpec.js → file:packages/engine/Specs/createFrameState.js (imports): dropped, missing target 'file:packages/engine/Specs/createFrameState.js'
  - Edge file:packages/engine/Specs/Scene/DeviceOrientationCameraControllerSpec.js → file:packages/engine/Specs/createCamera.js (imports): dropped, missing target 'file:packages/engine/Specs/createCamera.js'
  - Edge file:packages/engine/Specs/Scene/DeviceOrientationCameraControllerSpec.js → file:packages/engine/Specs/createCanvas.js (imports): dropped, missing target 'file:packages/engine/Specs/createCanvas.js'
  - Edge file:packages/engine/Specs/Scene/DeviceOrientationCameraControllerSpec.js → file:packages/engine/Specs/DomEventSimulator.js (imports): dropped, missing target 'file:packages/engine/Specs/DomEventSimulator.js'
  - Edge file:packages/engine/Specs/Scene/DiscardEmptyTileImagePolicySpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/DiscardMissingTileImagePolicySpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/DynamicEnvironmentMapManagerSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/EdgeFramebufferSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/TileBoundingRegionSpec.js → file:packages/engine/Specs/createFrameState.js (imports): dropped, missing target 'file:packages/engine/Specs/createFrameState.js'
  - Edge file:packages/engine/Specs/Scene/TileBoundingS2CellSpec.js → file:packages/engine/Specs/createFrameState.js (imports): dropped, missing target 'file:packages/engine/Specs/createFrameState.js'
  - Edge file:packages/engine/Specs/Scene/TileBoundingSphereSpec.js → file:packages/engine/Specs/createFrameState.js (imports): dropped, missing target 'file:packages/engine/Specs/createFrameState.js'
  - Edge file:packages/engine/Specs/Scene/TileMapServiceImageryProviderSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/TileOrientedBoundingBoxSpec.js → file:packages/engine/Specs/createFrameState.js (imports): dropped, missing target 'file:packages/engine/Specs/createFrameState.js'
  - Edge file:packages/engine/Specs/Scene/Tileset3DTileContentSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/Tileset3DTileContentSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
